floors,date started,cost per square foot,years to complete,interest rate on financing,purpose,neighborhood,Target Centroid
25,2001-11-09,29.81,1,1.05,offices,mixed use,(floors:25-cost per square foot:25)
16,2001-06-10,28.29,2,6.76,hospital,residential,(floors:18-cost per square foot:25)
22,2020-08-02,23.56,2,0.46,government,unknown,(floors:25-cost per square foot:25)
17,2003-12-09,28.21,15,4.04,offices,unknown,(floors:18-cost per square foot:25)
20,2014-09-16,26.58,15,4.54,offices,rural,(floors:18-cost per square foot:25)
15,2008-03-30, ,14,3.37,factory,None,(floors:18-cost per square foot:25)
18,2015-08-28,21.71,9,3.59,factory,1,(floors:18-cost per square foot:20)
16,2004-09-17,25.97,14,4.97,government,unknown,(floors:18-cost per square foot:25)
18,2003-01-24,18.59,1,6.03,multi-purpose,residential,(floors:18-cost per square foot:20)
29,2004-06-28,22.57,12,0.57,offices,rural,(floors:25-cost per square foot:25)
22,2000-06-16,27.39,14, ,hospital,1,(floors:25-cost per square foot:25)
15,2021-02-15,17.29,7,6.27,factory,rural,(floors:18-cost per square foot:20)
18,2016-01-31,29.82,9,5.38,warehouse,industrial,(floors:18-cost per square foot:25)
21,None,24.36,12,2.39,offices,mixed use,(floors:18-cost per square foot:25)
27,2007-06-19,21.16,14,2.1,factory,entertainment,(floors:25-cost per square foot:25)
20,2006-02-09,23.89,12,2.51,government,0,(floors:18-cost per square foot:20)
19,2000-10-07,26.43,None,5.66,multi-purpose,rural,(floors:18-cost per square foot:25)
26,2023-11-06,25.81,14,2.21,government,residential,(floors:25-cost per square foot:25)
15,2001-02-24,17.16,6,None,offices,rural,(floors:18-cost per square foot:20)
21,2003-02-27,22.62,6,0.06, ,residential,(floors:25-cost per square foot:25)
24,2016-09-11,21.01,7,1.06, ,unknown,(floors:25-cost per square foot:25)
28,2018-01-01,29.61,2,5.53,nan,0,(floors:25-cost per square foot:25)
20,2013-09-21,21.38,15,3.73,hospital,residential,(floors:18-cost per square foot:25)
17,2018-08-20,21.15,3,4.2,offices,entertainment,(floors:18-cost per square foot:25)
25,2016-09-28,29.31,7,3.89,hospital,mixed use,(floors:25-cost per square foot:25)
20,2011-11-27,18.46,5,7.8,offices,industrial,(floors:18-cost per square foot:20)
24,2023-04-08,21.11,13,1.02,hospital,rural,(floors:25-cost per square foot:25)
14,2007-05-09,23.8,1,6.21,hospital,entertainment,(floors:18-cost per square foot:25)
20,2019-11-20,20.75,1,5.01,multi-purpose,unknown,(floors:18-cost per square foot:25)
19,2019-08-03,19.82,7,7.59,government,industrial,(floors:18-cost per square foot:20)
20,2009-03-15,25.73,11,2.23,offices,rural,(floors:18-cost per square foot:25)
14,2016-06-21,25.48,10,5.25,hospital,residential,(floors:18-cost per square foot:25)
21,2018-05-19,21.6,7,7.12,multi-purpose,entertainment,(floors:25-cost per square foot:25)
23,2015-01-17,29.19,13,None,offices,unknown,(floors:25-cost per square foot:25)
16,2010-04-15,23.89,3,2.05,government,unknown,(floors:18-cost per square foot:20)
17,2011-10-27,23.28,11,7.04,nan,industrial,(floors:18-cost per square foot:25)
18,2001-12-12,23.45,8,5.3,multi-purpose,industrial,(floors:18-cost per square foot:25)
16,2003-04-19,25.76,11,2.33,offices,mixed use,(floors:18-cost per square foot:25)
16,2021-12-02,24.94,4,7.76,multi-purpose,residential,(floors:18-cost per square foot:25)
15,2015-04-03,40.5,1, ,government,industrial,(floors:18-cost per square foot:20)
18,2011-08-06,28.8,11,1.78,government,residential,(floors:18-cost per square foot:25)
15,2005-10-28,23.67,7,5.26,warehouse,1,(floors:18-cost per square foot:20)
 ,2014-08-31,20.13,12,2.81,multi-purpose,industrial,(floors:18-cost per square foot:25)
23,2023-02-02,24.86,1,nan,government,industrial,(floors:25-cost per square foot:25)
21,2009-09-26,20.92,1,7.74,offices,residential,(floors:25-cost per square foot:25)
16,2005-11-30,18.03,3,1,hospital,mixed use,(floors:18-cost per square foot:20)
16,2001-07-15,20.39,12,2.5,1,unknown,(floors:18-cost per square foot:20)
19,2006-05-31,31.45,3,5.62,0,industrial,(floors:18-cost per square foot:20)
27,2012-09-10,25.61,9,4.73,hospital,mixed use,(floors:25-cost per square foot:25)
17,2001-03-23,18.65,10,None,warehouse,unknown,(floors:18-cost per square foot:20)
23,2002-04-14,29.84,3,7.4,hospital,industrial,(floors:25-cost per square foot:25)
24,2004-03-28,22.95,6,5.48,warehouse,rural,(floors:25-cost per square foot:25)
15,2016-09-25,20.81,0,7.85,offices,entertainment,(floors:18-cost per square foot:25)
31,2017-07-05,23.9,11,4.09,factory,entertainment,(floors:25-cost per square foot:25)
16,2009-09-20,22.71,nan,7.75,offices,entertainment,(floors:18-cost per square foot:25)
17,2004-11-18,25.89,15,2.19,factory,entertainment,(floors:18-cost per square foot:25)
18,2005-05-22,35.370000000000005,11,6.28,hospital,unknown,(floors:18-cost per square foot:20)
21,2016-12-15,20.73,5,1.53,factory,mixed use,(floors:18-cost per square foot:20)
17,2000-06-17,9.34,9,6.88,warehouse,industrial,(floors:18-cost per square foot:25)
17,2002-03-23,24.07,4,1.77,government,rural,(floors:18-cost per square foot:25)
16,2002-06-14,25.0,8,6.09,offices,industrial,(floors:18-cost per square foot:25)
21,2002-12-01,27.57,nan,2.94,warehouse,unknown,(floors:18-cost per square foot:25)
24,2022-06-27,27.59,12,nan,warehouse,unknown,(floors:25-cost per square foot:25)
14,2001-02-22, ,None,6.4,warehouse,mixed use,(floors:18-cost per square foot:20)
20,2008-06-12,20.76,5,0.51,multi-purpose,nan,(floors:18-cost per square foot:20)
16,2020-09-10,23.26,11,2.49,government,industrial,(floors:18-cost per square foot:25)
28,2020-05-15,25.67,11,4.52,warehouse,industrial,(floors:25-cost per square foot:25)
16,2000-11-01,21.07,5,2.96,multi-purpose,rural,(floors:18-cost per square foot:20)
29,2007-02-21,21.17,3,5.76,government,entertainment,(floors:25-cost per square foot:25)
14,2007-06-04,21.39,None,4.25,government,entertainment,(floors:18-cost per square foot:20)
19,2005-03-25,16.76,14,0.97,hospital,entertainment,(floors:18-cost per square foot:20)
21,2015-02-14,22.62,10,4.61,government,residential,(floors:25-cost per square foot:25)
28,2000-07-11,25.27,11,3.31,hospital,unknown,(floors:25-cost per square foot:25)
nan,1,29.22,14,0,1,residential,(floors:25-cost per square foot:25)
18,2013-04-18,28.57,10,4.34,multi-purpose,unknown,(floors:18-cost per square foot:25)
None,2009-02-11,30.0,2,5.63,offices,rural,(floors:25-cost per square foot:25)
16,1,16.45,8,4.14,multi-purpose,mixed use,(floors:18-cost per square foot:20)
15,2017-10-24,29.66,3,7.22,warehouse,industrial,(floors:18-cost per square foot:25)
16,2012-04-30,28.41,13,2.13,hospital,residential,(floors:18-cost per square foot:25)
nan,2013-08-08,21.68,7,7.28,multi-purpose,rural,(floors:18-cost per square foot:20)
25,2019-06-08,23.66,14,7.05,multi-purpose,unknown,(floors:25-cost per square foot:25)
21,2016-03-25,20.17,15,0,hospital,mixed use,(floors:18-cost per square foot:20)
26,2022-09-10,28.04,14,5.75,multi-purpose,industrial,(floors:25-cost per square foot:25)
19,2002-02-15,23.86,11,2.6,government,industrial,(floors:18-cost per square foot:20)
20,2008-12-09,29.1,7,6.0,hospital,mixed use,(floors:25-cost per square foot:25)
23,2011-11-25,29.68,12,0.83,factory,rural,(floors:25-cost per square foot:25)
18,2020-02-09,18.51,6,0.84,hospital,industrial,(floors:18-cost per square foot:20)
24,2004-08-23,28.64,12,5.79,offices,rural,(floors:25-cost per square foot:25)
8,2013-02-14,25.53,10,7.23,factory,entertainment,(floors:18-cost per square foot:25)
14,2019-12-31,20.35,15,6.47,factory,residential,(floors:18-cost per square foot:25)
20,1,28.39,11,5.81,multi-purpose,unknown,(floors:18-cost per square foot:25)
1,2015-03-22,20.4,14,6.15,offices,entertainment,(floors:18-cost per square foot:25)
20,2016-01-30,23.14,9,6.79,multi-purpose,mixed use,(floors:18-cost per square foot:20)
15,2000-01-04,24.34,8,0.57,offices,industrial,(floors:18-cost per square foot:25)
15,2023-02-11,1,7,2.03,multi-purpose,residential,(floors:18-cost per square foot:20)
21,2008-06-17,20.88,7,4.16,factory,residential,(floors:25-cost per square foot:25)
15,2023-11-21,25.65,11,5.28,warehouse,unknown,(floors:18-cost per square foot:25)
21,2018-11-03,17.76,7,3.64,offices,entertainment,(floors:18-cost per square foot:20)
18,2014-02-12,16.77,13,5.37,hospital,unknown,(floors:18-cost per square foot:20)
16,2002-08-24,23.28,5,4.09,warehouse,residential,(floors:18-cost per square foot:20)
14,2002-07-09,28.06,13,3.48,offices,unknown,(floors:18-cost per square foot:25)
19,2019-10-29,25.05,13,7.48,warehouse,mixed use,(floors:18-cost per square foot:25)
17,2017-01-12,18.12,6,4.61,government,residential,(floors:18-cost per square foot:20)
21,2003-05-02,22.13,15,1.7,warehouse,entertainment,(floors:18-cost per square foot:20)
17,2012-11-01,22.27,1,1.1,nan,rural,(floors:18-cost per square foot:20)
19,2014-12-21,16.92,7,4.31,hospital,residential,(floors:18-cost per square foot:20)
21,2001-04-08,20.41,6,4.88,warehouse,rural,(floors:25-cost per square foot:25)
22,2009-04-15,23.11,6,4.82,warehouse,rural,(floors:25-cost per square foot:25)
24,2004-01-18,24.92,4,1,factory,mixed use,(floors:25-cost per square foot:25)
14,2012-12-16,24.41,15,5.94,factory,residential,(floors:18-cost per square foot:25)
15,2017-08-13,23.2,1,1.73,hospital,mixed use,(floors:18-cost per square foot:25)
15,2015-10-19,20.92,5,1.76,government,entertainment,(floors:18-cost per square foot:25)
21,2009-01-09,13.809999999999999,15,nan,offices,residential,(floors:25-cost per square foot:25)
20,2000-06-19,27.85,11,5.37,offices,unknown,(floors:25-cost per square foot:25)
nan,2008-07-17,23.83,11,6.19,government,rural,(floors:18-cost per square foot:20)
20,2022-09-24,21.42,12,4.52,multi-purpose,rural,(floors:18-cost per square foot:20)
23,2013-09-30,nan,7,5.56,multi-purpose,unknown,(floors:25-cost per square foot:25)
14,2018-10-15,22.44,2,0,hospital,None,(floors:18-cost per square foot:20)
19,2013-11-01,8.75,1,2.91,government,entertainment,(floors:18-cost per square foot:20)
20,2017-08-27,0,12,6.61,multi-purpose,unknown,(floors:25-cost per square foot:25)
16,2022-12-11,0,3,1.57,offices,rural,(floors:18-cost per square foot:20)
31,2020-07-30,24.99,11,3.37, ,industrial,(floors:25-cost per square foot:25)
25,2015-02-02,20.4,10,6.85,factory,mixed use,(floors:25-cost per square foot:25)
24,2003-12-21,29.93,12,1.78,offices,entertainment,(floors:25-cost per square foot:25)
27,2000-03-18,26.55,9,6.5,government,mixed use,(floors:25-cost per square foot:25)
17,2012-01-14,25.11,10,0.03,government,residential,(floors:18-cost per square foot:25)
16,2012-03-24,18.78,3,6.43,government,mixed use,(floors:18-cost per square foot:20)
23,2017-04-08,29.58,3,4.0,multi-purpose,rural,(floors:25-cost per square foot:25)
15,2021-06-05,23.13,11,6.27,offices,rural,(floors:18-cost per square foot:25)
20,2007-02-04,21.97,3,0.03,None,mixed use,(floors:25-cost per square foot:25)
15,2007-05-14,19.12,3,6.38,hospital,unknown,(floors:18-cost per square foot:20)
18,2005-08-11,18.17,4,5.59,warehouse,residential,(floors:18-cost per square foot:20)
21,2004-12-30,16.32,15,1.98,multi-purpose,entertainment,(floors:18-cost per square foot:20)
20,2002-03-29,39.53,10,5.77,offices,None,(floors:18-cost per square foot:20)
24,2015-01-16,27.83,7,3.75,multi-purpose,unknown,(floors:25-cost per square foot:25)
19,2018-05-24,23.71,12,6.15,hospital,nan,(floors:18-cost per square foot:20)
18,2021-07-12,23.03,1,5.56,warehouse,mixed use,(floors:18-cost per square foot:20)
19,2023-11-18,19.34,6,2.18,government,unknown,(floors:18-cost per square foot:20)
15,2021-04-26,18.8,4,1.61,hospital,unknown,(floors:18-cost per square foot:20)
22, ,26.96,11,0.08,offices,mixed use,(floors:25-cost per square foot:25)
12,2011-12-09,nan,8,6.73,multi-purpose,rural,(floors:18-cost per square foot:20)
19,2010-04-03,27.44, ,0.93,multi-purpose,rural,(floors:18-cost per square foot:25)
20,2008-04-19,27.11,9,6.44,offices,mixed use,(floors:18-cost per square foot:25)
15,2011-11-04,17.67,1,5.65,multi-purpose,entertainment,(floors:18-cost per square foot:20)
15,2021-01-08,21.3,11,7.17,offices,unknown,(floors:18-cost per square foot:20)
24,2001-10-19,None,10,6.03,warehouse,mixed use,(floors:25-cost per square foot:25)
17,2009-07-15,26.47,9,5.44,warehouse,rural,(floors:18-cost per square foot:25)
14,2018-12-24,16.05,4,2.26,hospital,residential,(floors:18-cost per square foot:20)
16,2010-12-14,23.25,3,1.87,government,residential,(floors:18-cost per square foot:25)
28,2022-10-16,27.03,12,0.64,hospital,unknown,(floors:25-cost per square foot:25)
18,2003-04-03,39.36,15,2.18,hospital,industrial,(floors:18-cost per square foot:25)
19,2004-01-06,17.14,11,3.42,government,industrial,(floors:18-cost per square foot:20)
20,2002-02-25,18.64,10,2.29,None,unknown,(floors:18-cost per square foot:20)
20,2003-07-17,24.18,9,5.01,multi-purpose,rural,(floors:18-cost per square foot:25)
16,2017-04-02,24.47,12,2.83,factory,industrial,(floors:18-cost per square foot:25)
20,2008-01-24,nan,10,4.76,offices,mixed use,(floors:18-cost per square foot:20)
20,2009-10-11,23.67,2,2.91,government,unknown,(floors:18-cost per square foot:25)
14,2000-08-14,6.609999999999999,3,0.36,multi-purpose,entertainment,(floors:18-cost per square foot:25)
21,2023-01-11,37.739999999999995,13,1.51,government,mixed use,(floors:18-cost per square foot:20)
24,2021-10-24,20.79,15,3.83,factory,residential,(floors:25-cost per square foot:25)
24,2019-11-19,24.41,9,0.29,multi-purpose,rural,(floors:25-cost per square foot:25)
21,2016-01-04,29.61,8,6.52,offices,entertainment,(floors:18-cost per square foot:25)
16,2010-01-17,22.73,3,2.7,government,entertainment,(floors:18-cost per square foot:25)
16,2011-07-31,20.49,12,1.02,warehouse,entertainment,(floors:18-cost per square foot:20)
21,2013-08-27,33.14,1,4.54,factory,1,(floors:18-cost per square foot:20)
28,2023-10-05,25.72,14,6.06,warehouse,unknown,(floors:25-cost per square foot:25)
17,2008-04-29,16.41,11,2.89,factory,unknown,(floors:18-cost per square foot:20)
21,2005-07-01,20.78,8,6.3,warehouse,entertainment,(floors:25-cost per square foot:25)
27,2018-01-22,25.62,0,7.55,nan,entertainment,(floors:25-cost per square foot:25)
16,nan,23.19,2,5.39,hospital,rural,(floors:18-cost per square foot:25)
14,2001-07-16,20.06,10,0.36,government,residential,(floors:18-cost per square foot:20)
20,2020-06-27,23.19,12,0.57,warehouse,None,(floors:25-cost per square foot:25)
27,2008-09-30,29.71,2,5.42,nan,unknown,(floors:25-cost per square foot:25)
28,2022-06-05,28.37,14,7.32,government,mixed use,(floors:18-cost per square foot:25)
16,2009-01-05,26.53,2,2.31,offices,mixed use,(floors:18-cost per square foot:25)
27,2002-07-05,25.41,12,1.16,hospital,unknown,(floors:25-cost per square foot:25)
17,2023-09-09,18.12,5,5.68,factory,rural,(floors:18-cost per square foot:20)
19,2015-06-05,24.14,15,1.3,offices,mixed use,(floors:18-cost per square foot:25)
15,2000-01-04,26.74,14,3.24,government,industrial,(floors:18-cost per square foot:25)
20,2017-05-02,23.77,12,5.37,factory,entertainment,(floors:18-cost per square foot:20)
17,2004-06-21,23.41,15,5.68,warehouse,unknown,(floors:18-cost per square foot:20)
14,2006-01-13,27.47,8,1.67,government,rural,(floors:18-cost per square foot:25)
18,2017-07-12,18.07,11,4.67,factory,residential,(floors:18-cost per square foot:20)
16,2011-01-14,0,3,6.58,hospital,mixed use,(floors:18-cost per square foot:20)
16,2000-08-14,18.59,12,1.79,multi-purpose,residential,(floors:18-cost per square foot:20)
21,2007-03-24,24.24,5,nan,offices,rural,(floors:25-cost per square foot:25)
25,2003-01-04,22.75,13,4.83,offices,unknown,(floors:25-cost per square foot:25)
15,2018-02-02,29.8,11, ,offices,unknown,(floors:18-cost per square foot:20)
15,2013-05-04,26.47,10,4.46,government,entertainment,(floors:18-cost per square foot:25)
16,2011-12-25,25.2,12,3.14,offices,industrial,(floors:18-cost per square foot:25)
17,2018-02-26,16.87,10,4.18,warehouse,residential,(floors:18-cost per square foot:20)
19,2013-02-24,23.17,15,6.61,hospital,unknown,(floors:18-cost per square foot:20)
23,2015-03-19,25.24,9,6.62,multi-purpose,mixed use,(floors:25-cost per square foot:25)
21,2012-10-07,22.34,8,4.09,multi-purpose,industrial,(floors:25-cost per square foot:25)
23,2017-01-27,23.57,1,0.34,factory,unknown,(floors:25-cost per square foot:25)
17,2006-04-28,23.49,2,1.78,multi-purpose,mixed use,(floors:18-cost per square foot:20)
17,2005-09-24,25.72,5,6.91,government,rural,(floors:18-cost per square foot:25)
15,2019-12-25,20.25,5,5.11,offices,mixed use,(floors:18-cost per square foot:20)
25,2014-01-12,21.81,10,2.06,warehouse,unknown,(floors:25-cost per square foot:25)
19,2007-10-03,22.33,2,3.73,multi-purpose,rural,(floors:18-cost per square foot:20)
15,2011-04-07,1,1,7.38,warehouse,unknown,(floors:18-cost per square foot:25)
21,2022-01-16,28.26,11,1,offices,unknown,(floors:18-cost per square foot:25)
21,2008-03-13,17.82,6,7.4,factory,rural,(floors:18-cost per square foot:20)
28,2011-12-24,25.02,11,0.63,factory,residential,(floors:25-cost per square foot:25)
16,2020-04-12,48.34,8,0.14,offices,mixed use,(floors:25-cost per square foot:25)
54,2003-12-24,26.79,13,7.37,multi-purpose,unknown,(floors:25-cost per square foot:25)
10,2009-09-27,20.23,5,7.85,government,unknown,(floors:25-cost per square foot:25)
15,2009-03-20,23.93,5,2.52,warehouse,unknown,(floors:18-cost per square foot:20)
21,2007-07-04,25.89,12,4.74,government,0,(floors:18-cost per square foot:25)
20,2004-01-20,22.49,2,6.43,offices,mixed use,(floors:25-cost per square foot:25)
21,2002-09-19,16.5,1,6.79,hospital,residential,(floors:18-cost per square foot:20)
24,2023-11-03,13.59,5,0.4,hospital,mixed use,(floors:25-cost per square foot:25)
20,2002-02-19,22.13,15,4.08,offices,mixed use,(floors:18-cost per square foot:20)
18,2022-04-10,23.69,7,4.92,offices,rural,(floors:18-cost per square foot:25)
17,2006-12-29,25.15,8,2.75,multi-purpose,residential,(floors:18-cost per square foot:25)
20,2010-11-12,29.78,2,5.37,government,mixed use,(floors:18-cost per square foot:25)
None,2010-01-01,20.72,15,1.34,factory,unknown,(floors:25-cost per square foot:25)
16,2007-12-12,23.19,1,3.51,offices,mixed use,(floors:18-cost per square foot:25)
20,2011-04-06,32.56,12,3.7,offices,industrial,(floors:18-cost per square foot:25)
20,2021-11-18,18.47,14,4.87,government,mixed use,(floors:18-cost per square foot:20)
15,2000-12-08,20.49,8,4.75,offices,industrial,(floors:18-cost per square foot:20)
25,2018-04-08,26.32,nan,4.25,factory,rural,(floors:25-cost per square foot:25)
20,2022-08-20,25.56,3,5.59,multi-purpose,industrial,(floors:25-cost per square foot:25)
16,2021-07-10,20.9,11,5.99,warehouse,residential,(floors:18-cost per square foot:20)
23,2001-05-31,21.78,6,5.22,factory,rural,(floors:25-cost per square foot:25)
16,2017-01-16,18.19,3,4.94,offices,mixed use,(floors:18-cost per square foot:20)
20,2007-07-12,19.83,8,0.95,factory,industrial,(floors:18-cost per square foot:20)
14,2001-10-03,29.62,9,None,warehouse,mixed use,(floors:18-cost per square foot:25)
14,2015-07-02,19.71,1,1.21,warehouse,0,(floors:18-cost per square foot:20)
14,2020-06-16,17.32,6,1.06,hospital,residential,(floors:18-cost per square foot:20)
1,2015-02-26,23.38,5,7.01,multi-purpose,mixed use,(floors:25-cost per square foot:25)
17,2016-08-24,29.48,14,2.38,warehouse,unknown,(floors:18-cost per square foot:25)
nan,2014-05-22,19.18,4,7.24,hospital,entertainment,(floors:18-cost per square foot:20)
18,2001-04-17,21.2,nan,1.85,hospital,mixed use,(floors:18-cost per square foot:25)
25,2011-03-06,23.61,10,6.81,multi-purpose,residential,(floors:25-cost per square foot:25)
20,2014-11-20,21.05,10,7.81,hospital,industrial,(floors:25-cost per square foot:25)
27,1,24.63,10,6.75,hospital,entertainment,(floors:25-cost per square foot:25)
15,2018-09-16,22.59,6,0.34,warehouse,unknown,(floors:18-cost per square foot:25)
25,2023-04-13,22.88,13,5.78,hospital,unknown,(floors:18-cost per square foot:20)
19,2022-09-06,18.73,8,5.47,offices,unknown,(floors:18-cost per square foot:20)
22,2009-12-28,21.48,10,2.22,warehouse,nan,(floors:25-cost per square foot:25)
10,2017-02-06,None,7,4.93,factory,residential,(floors:18-cost per square foot:25)
21,2005-08-27,27.14,13,6.56,offices,mixed use,(floors:18-cost per square foot:25)
21,0,22.4,8,0.5,multi-purpose,rural,(floors:18-cost per square foot:25)
19,2006-04-10,23.27,1,1.28,hospital,rural,(floors:18-cost per square foot:20)
14,2004-08-03,23.49,12,5.21,warehouse,industrial,(floors:18-cost per square foot:20)
24,2016-04-20,23.59,6,4.26,multi-purpose,mixed use,(floors:25-cost per square foot:25)
20,2007-02-10,17.03,2,1.99,warehouse,mixed use,(floors:18-cost per square foot:20)
